iter	Logloss
0	0.6930239446
1	0.692860759
2	0.692747933
3	0.6926376617
4	0.6925050794
5	0.692391008
6	0.6922536505
7	0.6921368208
8	0.692040008
9	0.6919235635
10	0.6918376356
11	0.691735896
12	0.691648065
13	0.6915564575
14	0.6914737264
15	0.6913887143
16	0.6913185911
17	0.6912110189
18	0.691130276
19	0.6910068285
20	0.6909065516
21	0.6908362719
22	0.6907699476
23	0.6907011069
24	0.6906333693
25	0.690577778
26	0.6905151347
27	0.6904527395
28	0.6903890854
29	0.6903182057
30	0.6902423525
31	0.69018712
32	0.6901263564
33	0.6900412412
34	0.6899709538
35	0.6899147082
36	0.6898332191
37	0.6897687229
38	0.6897078952
39	0.6896341478
40	0.6895466986
41	0.689489546
42	0.6894108549
43	0.6893474505
44	0.6893067428
45	0.689257016
46	0.6892131286
47	0.6891706487
48	0.6891299604
49	0.6890629379
50	0.6890130383
51	0.6889684566
52	0.6889219342
53	0.6888622676
54	0.6888042371
55	0.6887526828
56	0.6886959151
57	0.6886528537
58	0.6886139021
59	0.6885740209
60	0.6885196135
61	0.6884630042
62	0.6884085247
63	0.6883349308
64	0.6882952081
65	0.6882424223
66	0.6881728881
67	0.6881372925
68	0.6880957958
69	0.6880419647
70	0.6879937038
71	0.6879414661
72	0.6879028608
73	0.6878668194
74	0.687795835
75	0.6877393395
76	0.6876753372
77	0.6876294405
78	0.6875644815
79	0.6875132844
80	0.6874712497
81	0.6874342723
82	0.6873908849
83	0.687344365
84	0.6873105887
85	0.6872818107
86	0.6872509649
87	0.6872064468
88	0.6871438678
89	0.6871075944
90	0.6870524643
91	0.6870046782
92	0.6869736199
93	0.686928118
94	0.6868983679
95	0.6868470409
96	0.6868111311
97	0.6867581867
98	0.6866974724
99	0.6866499215
100	0.6866109522
101	0.6865849358
102	0.6865468388
103	0.6865004227
104	0.686467555
105	0.6864448879
106	0.6864143097
107	0.6863832145
108	0.6863415879
109	0.6862877701
110	0.6862390514
111	0.6862133657
112	0.6861764946
113	0.686104008
114	0.6860826934
115	0.6860490887
116	0.6860015349
117	0.6859558564
118	0.6859328466
119	0.6858654269
120	0.685830897
121	0.6858026841
122	0.6857338691
123	0.685648078
124	0.6856158235
125	0.6855780172
126	0.6855204212
127	0.685476671
128	0.6854595991
129	0.6854335269
130	0.6853915646
131	0.6853468426
132	0.6853152068
133	0.6852941302
134	0.6852545963
135	0.6852182014
136	0.6851751783
137	0.6851138357
138	0.6850913125
139	0.6850598405
140	0.6850215337
141	0.6849893607
142	0.6849451675
143	0.6848485957
144	0.6847687653
145	0.6847262109
146	0.6846975937
147	0.6846500389
148	0.6845901396
149	0.6845601033
150	0.6845189344
151	0.6844815039
152	0.6844540937
153	0.6844127167
154	0.6843808725
155	0.6843315003
156	0.6843114768
157	0.6842895404
158	0.684251529
159	0.6841992543
160	0.6841591637
161	0.6841221922
162	0.684091247
163	0.6840466663
164	0.683957672
165	0.6839234387
166	0.6838956474
167	0.6838467523
168	0.6838134068
169	0.6837874036
170	0.6837567606
171	0.6837225288
172	0.6836767908
173	0.6836409475
174	0.6836118686
175	0.6835908897
176	0.6835446193
177	0.6835118113
178	0.6834846385
179	0.6834388112
180	0.6833969246
181	0.6833738667
182	0.6833541501
183	0.6833221777
184	0.6833002508
185	0.6832673987
186	0.6832173153
187	0.6831669423
188	0.6831448921
189	0.6831224614
190	0.6830480411
191	0.6830047627
192	0.6829772037
193	0.6829571001
194	0.6829199839
195	0.6828956239
196	0.682870439
197	0.6828351172
198	0.682787573
199	0.6827580844
200	0.6827266905
201	0.6826805768
202	0.6826381547
203	0.6825864
204	0.6825192954
205	0.6824803186
206	0.6824461253
207	0.6824139713
208	0.6823826313
209	0.6823551494
210	0.6823376356
211	0.6823124283
212	0.6822832646
213	0.6822266087
214	0.6821644071
215	0.6821414503
216	0.6820617631
217	0.6820303096
218	0.6819925468
219	0.6819726719
220	0.6819506959
221	0.6819141669
222	0.6818651389
223	0.6818280121
224	0.6817820541
225	0.681733565
226	0.681672852
227	0.6816426529
228	0.6816182265
229	0.6815786401
230	0.681525632
231	0.6815040691
232	0.6814829406
233	0.6814686366
234	0.6814320897
235	0.6814146063
236	0.6813790318
237	0.6813570214
238	0.6812857988
239	0.6812507968
240	0.6812295891
241	0.6812006708
242	0.6811764659
243	0.68115617
244	0.6811368919
245	0.68110375
246	0.6810694106
247	0.6810378107
248	0.6810093989
249	0.6809632899
250	0.6809465856
251	0.6809159577
252	0.6808779513
253	0.6808514364
254	0.6807834809
255	0.6807623675
256	0.6807400819
257	0.6807191574
258	0.68069003
259	0.6806686985
260	0.6806387006
261	0.6806041913
262	0.6805641141
263	0.6805282934
264	0.6805051768
265	0.680472943
266	0.6804561287
267	0.6804258078
268	0.6803952273
269	0.6803583587
270	0.6803204901
271	0.680292576
272	0.6802721991
273	0.6802564043
274	0.6802413447
275	0.6801963744
276	0.6801626636
277	0.6801362132
278	0.6800954475
279	0.680060235
280	0.6800110682
281	0.6799470824
282	0.6799197294
283	0.6798909828
284	0.6798686333
285	0.6798288047
